Study ID,Author(s),Year,Title,Journal,Passed Filter 2,Scope,Genomic,Wild or Captive,Continent,Country,Latitude,Longitude,Avg or est points,Coordinate Notes,Coordinate System,Class,Latin Binomial,IUCN Latin Binomial,IUCN Status,Species Global North or South,Total Number of Authors,1st Author Origin Country,1st Author Global Divide,Last Author Origin Country,Last Author Global Divide,Collaboration,Number of Local Authors,Number of authors from Global North,Number of authors from Global South,delta_maximum_temperature_1960_2050,Paper Notes
30,"Alvarez-Varas, R.; Rojas-Hernández, N.; Heidemeyer, M.; Riginos, C.; Benítez, H. A.; Araya-Donoso, R.; Reséndiz, E.; Lara-Uc, M.; Godoy, D. A.; Muñoz-Pérez, J. P.; Alarcón-Ruales, D. E.; Alfaro-Shigueto, J.; Ortiz-Alvarez, C.; Mangel, J. C.; Vianna, J. A.; Véliz, D.",2021,"Green, yellow or black? Genetic differentiation and adaptation signatures in a highly migratory marine turtle",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,North America,Costa Rica,10.08237566,-83.94405937,Yes,estimated coord for center of CR,DD,Reptilia,Chelonia mydas,Chelonia mydas,EN,Global South,16,Chile,Global South,Chile,Global South,International,14,3,13,1.853992224,
30,"Alvarez-Varas, R.; Rojas-Hernández, N.; Heidemeyer, M.; Riginos, C.; Benítez, H. A.; Araya-Donoso, R.; Reséndiz, E.; Lara-Uc, M.; Godoy, D. A.; Muñoz-Pérez, J. P.; Alarcón-Ruales, D. E.; Alfaro-Shigueto, J.; Ortiz-Alvarez, C.; Mangel, J. C.; Vianna, J. A.; Véliz, D.",2021,"Green, yellow or black? Genetic differentiation and adaptation signatures in a highly migratory marine turtle",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,South America,Ecuador,-0.782070139,-91.03811443,Yes,estimated coords for Galapagos,DD,Reptilia,Chelonia mydas,Chelonia mydas,EN,Global South,16,Chile,Global South,Chile,Global South,International,14,3,13,1.627430439,
30,"Alvarez-Varas, R.; Rojas-Hernández, N.; Heidemeyer, M.; Riginos, C.; Benítez, H. A.; Araya-Donoso, R.; Reséndiz, E.; Lara-Uc, M.; Godoy, D. A.; Muñoz-Pérez, J. P.; Alarcón-Ruales, D. E.; Alfaro-Shigueto, J.; Ortiz-Alvarez, C.; Mangel, J. C.; Vianna, J. A.; Véliz, D.",2021,"Green, yellow or black? Genetic differentiation and adaptation signatures in a highly migratory marine turtle",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Oceania,Fiji,-16.81708668,178.3004825,Yes,"estimated point for Yadua island, Fiji",DD,Reptilia,Chelonia mydas,Chelonia mydas,EN,Global South,16,Chile,Global South,Chile,Global South,International,14,3,13,NA,
30,"Alvarez-Varas, R.; Rojas-Hernández, N.; Heidemeyer, M.; Riginos, C.; Benítez, H. A.; Araya-Donoso, R.; Reséndiz, E.; Lara-Uc, M.; Godoy, D. A.; Muñoz-Pérez, J. P.; Alarcón-Ruales, D. E.; Alfaro-Shigueto, J.; Ortiz-Alvarez, C.; Mangel, J. C.; Vianna, J. A.; Véliz, D.",2021,"Green, yellow or black? Genetic differentiation and adaptation signatures in a highly migratory marine turtle",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,North America,Mexico,23.7973506,-102.3979145,Yes,estimated coord for center of MX,DD,Reptilia,Chelonia mydas,Chelonia mydas,EN,Global South,16,Chile,Global South,Chile,Global South,International,14,3,13,2.613715649,
30,"Alvarez-Varas, R.; Rojas-Hernández, N.; Heidemeyer, M.; Riginos, C.; Benítez, H. A.; Araya-Donoso, R.; Reséndiz, E.; Lara-Uc, M.; Godoy, D. A.; Muñoz-Pérez, J. P.; Alarcón-Ruales, D. E.; Alfaro-Shigueto, J.; Ortiz-Alvarez, C.; Mangel, J. C.; Vianna, J. A.; Véliz, D.",2021,"Green, yellow or black? Genetic differentiation and adaptation signatures in a highly migratory marine turtle",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Oceania,New Zealand,-42.64321026,172.2966389,Yes,estimated coord for center of NZ,DD,Reptilia,Chelonia mydas,Chelonia mydas,EN,Global North,16,Chile,Global South,Chile,Global South,International,14,3,13,1.732117653,
30,"Alvarez-Varas, R.; Rojas-Hernández, N.; Heidemeyer, M.; Riginos, C.; Benítez, H. A.; Araya-Donoso, R.; Reséndiz, E.; Lara-Uc, M.; Godoy, D. A.; Muñoz-Pérez, J. P.; Alarcón-Ruales, D. E.; Alfaro-Shigueto, J.; Ortiz-Alvarez, C.; Mangel, J. C.; Vianna, J. A.; Véliz, D.",2021,"Green, yellow or black? Genetic differentiation and adaptation signatures in a highly migratory marine turtle",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,South America,Peru,-10.52526084,-75.28227365,Yes,estimated coords for center of Peru,DD,Reptilia,Chelonia mydas,Chelonia mydas,EN,Global South,16,Chile,Global South,Chile,Global South,International,14,3,13,2.276215315,
31,"Álvarez-Varas, Rocío; Medrano, Carol; Benítez, Hugo A.; Guerrero, Felipe; León Miranda, Fabiola; Vianna, Juliana A.; González, Camila; Véliz, David",2022,"Genetics, Morphometrics and Health Characterization of Green Turtle Foraging Grounds in Mainland and Insular Chile",Animals,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,South America,Chile,-26.76608888,-70.27188399,Yes,estimated coords for center of Chile; sampled Rapa Nui,DD,Reptilia,Chelonia mydas,Chelonia mydas,EN,Global South,8,Chile,Global South,Chile,Global South,Domestic,8,0,8,2.167534113,
35,"Antunes, Bernardo; Dudek, Katarzyna; Pabijan, Maciej; Zieliński, Piotr; Babik, Wiesław",2023,"Past forest cover explains current genetic differentiation in the Carpathian newt (Lissotriton montandoni), but not in the smooth newt (L. vulgaris)",Diversity and Distributions,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Europe,Albania,41.335,20.477,NO,single point,DD,Amphibia,Lissotriton vulgaris,Lissotriton vulgaris,LC,Global North,5,Poland,Global North,Poland,Global North,Domestic,5,5,0,3.209027767,
35,"Antunes, Bernardo; Dudek, Katarzyna; Pabijan, Maciej; Zieliński, Piotr; Babik, Wiesław",2023,"Past forest cover explains current genetic differentiation in the Carpathian newt (Lissotriton montandoni), but not in the smooth newt (L. vulgaris)",Diversity and Distributions,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Europe,Bosnia and Herzegovina,44.56285719,17.80361099,Yes,estimated center of B&H,DD,Amphibia,Lissotriton vulgaris,Lissotriton vulgaris,LC,Global North,5,Poland,Global North,Poland,Global North,Domestic,5,5,0,3.318576813,
35,"Antunes, Bernardo; Dudek, Katarzyna; Pabijan, Maciej; Zieliński, Piotr; Babik, Wiesław",2023,"Past forest cover explains current genetic differentiation in the Carpathian newt (Lissotriton montandoni), but not in the smooth newt (L. vulgaris)",Diversity and Distributions,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Europe,Bulgaria,42.46437094,25.18645556,Yes,estimated center of bulgaria,DD,Amphibia,Lissotriton vulgaris,Lissotriton vulgaris,LC,Global North,5,Poland,Global North,Poland,Global North,Domestic,5,5,0,3.303298235,
35,"Antunes, Bernardo; Dudek, Katarzyna; Pabijan, Maciej; Zieliński, Piotr; Babik, Wiesław",2023,"Past forest cover explains current genetic differentiation in the Carpathian newt (Lissotriton montandoni), but not in the smooth newt (L. vulgaris)",Diversity and Distributions,Yes,Level 2: Spatial genomic variation,GBS/RAD/target capture,Wild,Europe,Croatia,45.01947376,15.30679087,Yes,estimated center of croatia,DD,Amphibia,Lissotriton vulgaris,Lissotriton vulgaris,LC,Global North,5,Poland,Global North,Poland,Global North,Domestic,5,5,0,3.264930964,
